// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff,Shield
//
// Novice
0,	920000,0    ,500  ,100  ,40  ,55  ,57  ,200 ,200 ,200 ,50  ,200 ,50  ,55  ,65  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,65  ,10
// Swordman
1,	928000,70   ,500  ,200  ,40  ,47  ,47  ,54  ,57  ,65  ,55  ,60  ,50  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Magician
2,	922000,30   ,500  ,600  ,50  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,10
// Archer
3,	926000,50   ,500  ,200  ,40  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,9
// Acolyte
4,	924000,40   ,500  ,500  ,40  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,45  ,50  ,60  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,60  ,7
// Merchant
5,	928000,40   ,500  ,300  ,40  ,52  ,52  ,200 ,200 ,200 ,48  ,55  ,50  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Thief
6,	924000,50   ,500  ,200  ,40  ,48  ,50  ,200 ,200 ,200 ,60  ,200 ,200 ,200 ,200 ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,6
// Knight
7,	928000,150  ,500  ,300  ,40  ,49  ,45  ,52  ,55  ,60  ,50  ,55  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Priest
8,	926000,75   ,500  ,800  ,40  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,43  ,48  ,60  ,200 ,60  ,200 ,200 ,44  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,60  ,5
// Wizard
9,	924000,55   ,500  ,900  ,50  ,54  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,53  ,8
// Blacksmith
10,	930000,90   ,500  ,400  ,40  ,50  ,50  ,200 ,200 ,200 ,46  ,53  ,48  ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Hunter
11,	927000,85   ,500  ,400  ,40  ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,48  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,9
// Assassin
12,	924000,110  ,500  ,400  ,40  ,42  ,50  ,200 ,200 ,200 ,51  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,42  ,200 ,200 ,200 ,200 ,200 ,110 ,200 ,6
// Knight (Peco)
13,	928000,150  ,500  ,300  ,40  ,49  ,45  ,52  ,55  ,60  ,50  ,55  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Crusader
14,	928000,110  ,700  ,470  ,40  ,48  ,43  ,55  ,53  ,52  ,50  ,55  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Monk
15,	926000,90   ,650  ,470  ,40  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,43  ,48  ,60  ,200 ,40  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,58  ,5
// Sage
16,	924000,75   ,500  ,700  ,45  ,53  ,60  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,200 ,200 ,200 ,200 ,43  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,5
// Rogue
17,	924000,85   ,500  ,500  ,40  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Alchemist
18,	930000,90   ,500  ,400  ,40  ,50  ,45  ,200 ,200 ,200 ,45  ,52  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,4
// Bard
19,	927000,75   ,300  ,600  ,40  ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,48  ,200 ,45  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,7
// Dancer
20,	927000,75   ,300  ,600  ,40  ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,48  ,200 ,200 ,45  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,7
// Crusader (Peco)
21,	928000,110  ,700  ,470  ,40  ,48  ,43  ,55  ,53  ,52  ,50  ,55  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Wedding
22,	920000,0    ,500  ,100  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200
// Super Novice
23,	920000,0    ,500  ,100  ,40  ,55  ,57  ,200 ,200 ,200 ,50  ,200 ,50  ,55  ,65  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,65  ,10
// Gunslinger
24,	928000,90   ,650  ,469  ,54  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,49  ,59  ,54  ,94  ,104 ,200 ,200 ,6
// Ninja
25,	926000,75   ,500  ,540  ,40  ,43  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,200 ,6
// Novice High
4001,	920000,0    ,500  ,100  ,40  ,55  ,57  ,200 ,200 ,200 ,50  ,200 ,50  ,55  ,65  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,65  ,10
// Swordman High
4002,	928000,70   ,500  ,200  ,40  ,47  ,47  ,54  ,57  ,65  ,55  ,60  ,50  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Magician High
4003,	922000,30   ,500  ,600  ,50  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,10
// Archer High
4004,	926000,50   ,500  ,200  ,40  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,9
// Acolyte High
